"Controller","Total","Covered","Missing","Pct%"
"ChatController","19","19","0","100"
"ClassController","8","8","0","100"
"ExamController","5","5","0","100"
"MajorController","5","5","0","100"
"NotificationController","8","8","0","100"
"PaperController","7","7","0","100"
"QuestionController","7","7","0","100"
"SubjectController","5","5","0","100"
"TemplateController","5","5","0","100"
"UserController","6","6","0","100"
"WrongController","4","4","0","100"
"AuthController","4","4","0","100"
"DashboardController","4","4","0","100"
"MarkingController","4","4","0","100"
"ProfileController","4","4","0","100"
"ScoreController","4","4","0","100"
"StudentExamController","6","6","0","100"
"SpeechController","1",,"1","0"
"FileController","2","2","0","100"
